Film,Genre,LeadStudio,Audiencescore,Profitability,RottenTomatoes,WorldwideGross,Year,Image
"Zack and Miri Make a Porno",Romance,"The Weinstein Company",70,1.747.541.667,64,"$41.94 ",2008,https://images-na.ssl-images-amazon.com/images/I/51Bi5OXPqeL._SY445_.jpg
"Youth in Revolt",Comedy,"The Weinstein Company",52,01.09,68,"$19.62 ",2010,https://resizing.flixster.com/oqVhycnTNRSebdlBGqEGgpmI05g=/206x305/v1.bTsxMTE2OTY4OTtqOzE4MDM5OzEyMDA7ODAwOzEyMDA
"You Will Meet a Tall Dark Stranger",Comedy,Independent,35,1.211.818.182,43,"$26.66 ",2010,https://1.bp.blogspot.com/_mEe6CQealD0/TILmOPuE1kI/AAAAAAAAABE/g54TJL0KR-c/s1600/Tall+Dark+Stranger+New+Poster.jpg
"When in Rome",Comedy,Disney,44,0,15,"$43.04 ",2010,https://images-na.ssl-images-amazon.com/images/I/51eQX0nrMLL._SY445_.jpg
"What Happens in Vegas",Comedy,Fox,72,6.267.647.029,28,"$219.37 ",2008,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/What_happens_in_vegas.jpg/220px-What_happens_in_vegas.jpg
"Water For Elephants",Drama,"20th Century Fox",72,3.081.421.053,60,"$117.09 ",2011,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Water_for_Elephants_Poster.jpg/215px-Water_for_Elephants_Poster.jpg
WALL-E,Animation,Disney,89,2.896.019.067,96,"$521.28 ",2008,https://images-na.ssl-images-amazon.com/images/I/5116NMP6cCL._SY445_.jpg
Waitress,Romance,Independent,67,110.897.415,89,"$22.18 ",2007,https://images-na.ssl-images-amazon.com/images/I/51ZN7uNKr3L._SY445_.jpg
"Twilight: Breaking Dawn",Romance,Independent,68,6.383.363.636,26,"$702.17 ",2011,https://imgc.allpostersimages.com/img/print/posters/the-twilight-saga-breaking-dawn-part-2_a-G-9318620-0.jpg
Twilight,Romance,Summit,82,1.018.002.703,49,"$376.66 ",2008,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Eclipse_Theatrical_One-Sheet.jpg/220px-Eclipse_Theatrical_One-Sheet.jpg
"The Time Traveler's Wife",Drama,Paramount,65,2.598.205.128,38,"$101.33 ",2009,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/The_Time_Traveler%27s_Wife_film_poster.jpg/220px-The_Time_Traveler%27s_Wife_film_poster.jpg
"The Invention of Lying",Comedy,"Warner Bros.",47,1.751.351.351,56,"$32.40 ",2009,https://images-na.ssl-images-amazon.com/images/I/71vbeKLn9pL._SY445_.jpg
"The Heartbreak Kid",Comedy,Paramount,41,2.129.444.167,30,"$127.77 ",2007,https://images-na.ssl-images-amazon.com/images/I/71-AEweF8dL._RI_.jpg
"The Duchess",Drama,Paramount,68,3.207.850.222,60,"$43.31 ",2008,https://m.media-amazon.com/images/M/MV5BMTU1MTQzMjgzNl5BMl5BanBnXkFtZTcwNTQxMzk3MQ@@._V1_UX182_CR0
"The Curious Case of Benjamin Button",Fantasy,"Warner Bros.",81,178.394.375,73,"$285.43 ",2008,https://images-na.ssl-images-amazon.com/images/I/91KxcLPgw5S._SY445_.jpg
"The Back-up Plan",Comedy,CBS,47,2.202.571.429,20,"$77.09 ",2010,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Newbupp.jpg/220px-Newbupp.jpg
"Something Borrowed",Romance,Independent,48,1.719.514.286,15,"$60.18 ",2011,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Something_borrowed_poster.jpg/220px-Something_borrowed_poster.jpg
"She's Out of My League",Comedy,Paramount,60,2.4405,57,"$48.81 ",2010,https://images-na.ssl-images-amazon.com/images/I/91ycN4ZwxGL._SY445_.jpg
"Remember Me",Drama,Summit,70,349.125,28,"$55.86 ",2010,https://images-na.ssl-images-amazon.com/images/I/51OWx18ZOOL._SY445_.jpg
"Rachel Getting Married",Drama,Independent,61,1.384.166.667,85,"$16.61 ",2008,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Rachel_getting_married.jpg/220px-Rachel_getting_married.jpg
"Over Her Dead Body",Comedy,"New Line",47,2.071,15,"$20.71 ",2008,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Over_Her_Dead_Body_Poster.jpg/220px-Over_Her_Dead_Body_Poster.jpg
"Our Family Wedding",Comedy,Independent,49,0,14,"$21.37 ",2010,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Our_Family_Wedding.jpg/220px-Our_Family_Wedding.jpg
"One Day",Romance,Independent,54,3.682.733.333,37,"$55.24 ",2011,https://pics.filmaffinity.com/one_day-871097561-large.jpg
"Not Easily Broken",Drama,Independent,66,2.14,34,"$10.70 ",2009,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Not_easily_broken_poster.jpg/215px-Not_easily_broken_poster.jpg
"No Reservations",Comedy,"Warner Bros.",64,3.307.180.357,39,"$92.60 ",2007,https://m.media-amazon.com/images/M/MV5BMTI1NzQ5MzU1OV5BMl5BanBnXkFtZTcwNzExODU0MQ@@._V1_UX182_CR0
"Nick and Norah's Infinite Playlist",Comedy,Sony,67,33.527.293,73,"$33.53 ",2008,https://images-na.ssl-images-amazon.com/images/I/514nQgl6NiL._SY445_.jpg
"Midnight in Paris",Romence,Sony,84,8.744.705.882,93,"$148.66 ",2011,https://images-na.ssl-images-amazon.com/images/I/61qbfWVKPYL.jpg
"Mamma Mia!",Comedy,Universal,76,9.234.453.864,53,"$609.47 ",2008,https://is3-ssl.mzstatic.com/image/thumb/Video/v4/96/2c/28/962c287f-b6eb-8ab6-514f-dea80c2998d2/02356_MLPE_IL_MammaMiatheMovie_1400x2100.jpg/268x0w.jpg
"Love Happens",Drama,Universal,40,2.004.444.444,18,"$36.08 ",2009,https://pics.filmaffinity.com/love_happens-414189729-large.jpg
